AccountID,Industry,Vertical,TotalBRR,AnnualRevenue,NumberOfEmployees,DandBRevenue,DandBTotalEmployees
Acct-000273,Telecommunications,Wireless,6084906,248747366,397,356943618,397
Acct-000013,Telecommunications,National Carrier/ISP,5117529,10779768902,40000,10779768902,40000
Acct-000036,Telecommunications,Wireless,5105015,9277969886,34518,19094310655,34518
Acct-000025,Telecommunications,National Carrier/ISP,4234871,6248394000,10040,7587138000,12500
Acct-000004,Telecommunications,Wireless,3510947,29669960000,30000,32588090000,30000
Acct-000002,Telecommunications,National Carrier/ISP,3344939,25378360492,43350,25049031786,43350
Acct-000053,Telecommunications,National Carrier/ISP,2950069,16503800000,43000,16503800000,43000
Acct-000009,Telecommunications,National Carrier/ISP,1915889,5374799000,12626,5315606600,12326
Acct-000236,Telecommunications,Wireless,1647409,1.35E+11,281450,1.35E+11,281450
Acct-000034,Telecommunications,National Carrier/ISP,1541759,0,0,0,0
Acct-000007,Telecommunications,PTT,1334080,0,0,0,0
Acct-000072,Telecommunications,National Carrier/ISP,1307326,109048721,431,207078004,475
Acct-000038,Media & Content,Internet Content & Software,1183550,69139858000,61814,69139858000,61814
Acct-000167,Telecommunications,National Carrier/ISP,1156723,0,0,0,0
Acct-000579,Telecommunications,National Carrier/ISP,1123818,0,0,0,0
Acct-001417,Telecommunications,National Carrier/ISP,1077531,0,0,0,0
Acct-001900,Telecommunications,National Carrier/ISP,1057018,0,0,0,0
Acct-000058,Media & Content,Internet Content & Software,967729,98659532000,230800,98659532000,230800
Acct-000451,Telecommunications,National Carrier/ISP,938469,0,400,0,0
Acct-000039,Media & Content,Cable & Satellite,881860,8993188,23800,8993188000,23800
Acct-000074,Media & Content,Cable & Satellite,827848,63410550000,139000,68698220000,141000
Acct-000091,Telecommunications,Regional Carrier/ISP,810174,576444,2,518799,2
Acct-000303,Telecommunications,PTT,731810,33857910,170,44939096,170
Acct-000022,Finance,Finance - Other,724132,4412352774,15000,3359397269,15000
Acct-000011,Media & Content,Internet Content & Software,683378,1.99E+11,116000,1.99E+11,116000
Acct-000444,Telecommunications,PTT,662482,0,0,0,0
Acct-000116,Telecommunications,RLEC,646154,5141072000,19200,5141072000,19200
Acct-000045,Telecommunications,Regional Carrier/ISP,604300,125427357,223,134104019,223
Acct-000259,Telecommunications,National Carrier/ISP,591949,32940097,55,21140538,83
Acct-001248,Media & Content,Internet Content & Software,574813,1810691828,5106,2026047056,6084
Acct-001142,Government,Federal Research,564728,2637100369,19000,2625484662,19000
Acct-003348,Finance,Insurance - Non-Healthcare,547386,0,0,0,0
Acct-000056,Finance,Finance - Other,539570,87756882000,242000,85797632000,213000
Acct-000014,Telecommunications,National Carrier/ISP,523971,0,0,0,0
Acct-000008,Telecommunications,RLEC,520611,1297946554,3485,427264020,3485
Acct-000333,Finance,Finance - Other,518767,94138044000,241359,93127532000,234598
Acct-000312,IT Infrastructure,Colo/Hosting,515234,991343260,2300,945308840,2300
Acct-001019,Finance,Finance - Other,508424,36149776000,36800,36149776000,36800
